Track_Name,Surface,Lat,Lon,Years_Active,Winningest_Driver,2014_Winner,2014_CoDriver,2014_Manufacturer,2015_Winner,2015_CoDriver,2015_Manufacturer,2016_Winner,2016_CoDriver,2016_Manufacturer,2017_Winner,2017_CoDriver,2017_Manufacturer,2018_Winner,2018_CoDriver,2018_Manufacturer
Wales Rally Gb,Gravel,52.130661,-3.783712,46,Sébastien Ogier,Sébastien Ogier,Julien Ingrassia,Volkswagen,Sébastien Ogier,Julien Ingrassia,Volkswagen,Sébastien Ogier,Julien Ingrassia,Volkswagen,Elfyn Evans,Daniel Barritt,Ford,Sébastien Ogier,Julien Ingrassia,Ford
Tour de Corse,Mixed,42.180721,9.04704,40,Tie; Bernard Darniche and Didier Auriol,,,,Jari-Matti Latvala,Miikka Anttila,Volkswagen,Sébastien Ogier,Julien Ingrassia,Volkswagen,Thierry Neuville,Nicolas Gilsoul,Hyundai,Sébastien Ogier,Julien Ingrassia,Ford
Portugal Rally,Gravel,39.399872,-8.224454,40,Tie; Markku Alén and Sébastien Ogier,Sébastien Ogier,Julien Ingrassia,Volkswagen,Jari-Matti Latvala,Miikka Anttila,Volkswagen,Kris Meeke,Paul Nagle,Citreön,Sébastien Ogier,Julien Ingrassia,Ford,Thierry Neuville,Nicolas Gilsoul,Hyundai
Rally Finland,Gravel,63.252357,27.276469,46,Tie; Hannu Mikkola and Marcus Grönholm,Jari-Matti Latvala,Mikka Anttila,Volkswagen,Jari-Matti Latvala,Miikka Anttila,Volkswagen,Kris Meeke,Paul Nagle,Citreön,Esapekka Lappi,Janne Ferm,Toyota,Ott Tänak,Martin Järveoja,Toyota
Rally di Sanremo,Gravel,43.819825,7.774883,30,Paolo Andreucci,,,,,,,,,,,,,,,
Safari Rally,Gravel,-32.72084,25.590059,29,Shekhar Mehta,,,,,,,,,,,,,,,
Press-on-Regardless Rally,Dirt,46.54361,-87.396288,2,Ron Johnstonbaugh,,,,,,,,,,,,,,,
Monte Carlo Rally,Mixed,43.738419,7.424616,42,Tie; Sébastien Loeb and Sébastien Ogier,Sébastien Ogier,Julien Ingrassia,Volkswagen,Sébastien Ogier,Julien Ingrassia,Volkswagen,Sébastien Ogier,Julien Ingrassia,Volkswagen,Sébastien Ogier,Julien Ingrassia,Ford,Sébastien Ogier,Julien Ingrassia,Ford
Acropolis Rally,Gravel,37.98381,23.727539,38,Colin McRae,,,,,,,,,,,,,,,
Swedish Rally,Snow,59.885607,13.174972,43,Stig Blomqvist,Jari-Matti Latvala,Mikka Anttila,Volkswagen,Sébastien Ogier,Julien Ingrassia,Volkswagen,Sébastien Ogier,Julien Ingrassia,Volkswagen,Jari-Matti Latvala,Miikka Anttila,Toyota,Thierry Neuville,Nicolas,Hyundai
Rallye du Maroc,Dirt,31.791702,-7.09262,3,Jean-Pierre Nicolas,,,,,,,,,,,,,,,
Rally Poland,Gravel,51.919437,19.145136,6,Sobieslaw Zasada,Sébastien Ogier,Julien Ingrassia,Volkswagen,Sébastien Ogier,Julien Ingrassia,Volkswagen,Andreas Mikkelsen,Anders Jæger,Volkswagen,Thierry Neuville,Nicolas Gilsoul,Hyundai,,,
Österreichische Alpenfahrt,Mixed,47.516232,14.550072,1,Achim Warmbold,,,,,,,,,,,,,,,
Rally Rideau Lakes,,44.90379,-76.021599,1,Sandro Munari,,,,,,,,,,,,,,,
Critérium du Quebec ,Dirt,52.939915,-73.549133,3,"Tie; Timo Salonen, Walter Röhrl, and Björn Waldegarád",,,,,,,,,,,,,,,
Rally New Zealand,Mixed,-43.464458,171.791763,31,Marcus Grönholm,,,,,,,,,,,,,,,
Rallye Cóte d'lvoire,Tarmac,7.539989,-5.54708,15,Gary Chaynes,,,,,,,,,,,,,,,
Rally Argentina,Gravel,-38.416096,-63.616673,38,Sébastien Loeb,Jari-Matti Latvala,Mikka Anttila,Volkswagen,Kris Meeke,Paul Nagle,Citreön,Hayden Paddon,John Kennard,Hyundai,Thierry Neuville,Nicolas Gilsoul,Hyundai,Ott Tänak,Martin Järveoja,Toyota
Rally Brazil,Gravel,-14.235004,-51.925282,2,Tie; Ari Vatanen and Michéle Mouton,,,,,,,,,,,,,,,
Olympus Rally,Dirt,47.215096,-123.100708,3,"Tie; Hannu Mikkola, Markku Alén, Juha Kankkunen, and Miki Biasion",,,,,,,,,,,,,,,
Rally Australia,Gravel,-25.274399,133.775131,26,Juha Kankkunen,Sébastien Ogier,Julien Ingrassia,Volkswagen,Sébastien Ogier,Julien Ingrassia,Volkswagen,Andreas Mikkelsen,Anders Jæger,Volkswagen,Thierry Neuville,Nicolas Gilsoul,Hyundai,Jari-Matti Latvala,Miikka Anttila,Toyota
Rally Catalunya,Mixed,41.69215,1.74601,29,Sébastien Loeb,Sébastien Ogier,Julien Ingrassia,Volkswagen,Andreas Mikkelsen,Ola Fløene,Volkswagen,Sébastien Ogier,Julien Ingrassia,Volkswagen,Kris Meeke,Paul Nagle,Cirteön,Sébastien Loeb,Daniel Elena,Citroën
Rally Indonesia,Gravel,-0.789275,113.921326,2,Tie; Ross Dunkerton and Rifat Sungkar,,,,,,,,,,,,,,,
Rally China,Gravel,22.86994,113.41972,1,Cancelled Event,,,,,,,,,,,,,,,
Cyprus Rally,Gravel,34.66928,33.028212,8,Nasser Al-Attiyah,,,,,,,,,,,,,,,
Rallye Deutschland,Tarmac,51.165691,10.451526,17,Sébastien Loeb,Thierry Neuville,Nicolas Gilsoul,Hyundai,Sébastien Ogier,Julien Ingrassia,Volkswagen,Sébastien Ogier,Julien Ingrassia,Volkswagen,Ott Tänak,Martin Järveoja,Ford,Ott Tänak,Martin Järveoja,Toyota
Rally of Turkey,Gravel,38.963745,35.24332,8,Sébastien Loeb,,,,,,,,,,,,,Ott Tänak,Martin Järveoja,Toyota
Rally di Sardegna,Gravel,40.085899,8.97982,15,Sébastien Loeb,Sébastien Ogier,Julien Ingrassia,Volkswagen,Sébastien Ogier,Julien Ingrassia,Volkswagen,Thierry Neuville,Nicolas Gilsoul,Hyundai,Ott Tänak ,Martin Järveoja,Ford,Thierry Neuville,Nicolas Gilsoul,Hyundai
Rally Mexico,Gravel,21.121361,-101.683403,15,Sébastien Loeb,Sébastien Ogier,Julien Ingrassia,Volkswagen,Sébastien Ogier,Julien Ingrassia,Volkswagen,Jari-Matti Latvala,Miikka Anttila,Volkswagen,Kris Meeke,Paul Nagle,Citreön,Sébastien Ogier,Julien Ingrassia,Ford
Rally Japan,Dirt,43.451984,142.819778,6,Mikko Hirvonen,,,,,,,,,,,,,,,
Rally Norway,Snow,60.189911,12.216023,2,"Tie; Henning Solberg, Mikko Hirvonen, and Sébatstien Loeb",,,,,,,,,,,,,,,
Rally Ireland,Gravel,54.597271,-5.93011,2,Sébastien Loeb,,,,,,,,,,,,,,,
Rally Jordan,Dirt,31.945368,35.928371,3,Nasser Al-Attiyah,,,,,,,,,,,,,,,
Rally d'Alsace,Tarmc,48.249176,7.40747,5,Tie; Sébastien Loeb and Sébastien Ogier,Jari-Matti Latvala,Mikka Anttila,Volkswagen,,,,,,,,,,,,
Rally Bulgaria,Dirt,42.307564,23.53186,1,Enrico Bertone,,,,,,,,,,,,,,,
