Driver_Name,Age,Country,Co_Driver,Team_Name,Car,Principal,Tyres,website,social_media
Sébastien Ogier,35,France,Julien Ingrassia,Citroën Total World Rally Team,Cirtoën C3 WRC,Pierre Budar,Michelin,citroenracing.com, @sebogier
Esapekka Lappi,28,Finland,Janne Ferm,Citroën Total World Rally Team,Cirtoën C3 WRC,Pierre Budar,Michelin,citroenracing.com, @esapekkalappi
Teemu Suninen,25,Finland,Marko Salminen,M-Sport Ford World Rally Team,Ford Fiesta WRC,Richard Millener,Michelin,m-sport.co.uk, @teemusuninenrac
Elfyn Evans,30,Great Britain,Scott Martin,M-Sport Ford World Rally Team,Ford Fiesta WRC,Richard Millener,Michelin,m-sport.co.uk, @elfynevans
Pontus Tidemand,28,Sweden,Ola Fløene,M-Sport Ford World Rally Team,Ford Fiesta WRC,Richard Millener,Michelin,m-sport.co.uk, @pontustidemand
Thierry Neuville,30,Belgium,Nicolas Gilsoul,Hyundai Shell Mobis World Rally Team,Hyundai I20 Coupe WRC,Andrea Adamo,Michelin,motosport.hyundai.com, @thierryneuville
Andreas Mikkelsen,29,Norway,Anders Jaeger-Amland,Hyundai Shell Mobis World Rally Team,Hyundai I20 Coupe WRC,Andrea Adamo,Michelin,motosport.hyundai.com, @amikkelsenrally
Sébastien Loeb,44,France,Daniel Elena,Hyundai Shell Mobis World Rally Team,Hyundai I20 Coupe WRC,Andrea Adamo,Michelin,motosport.hyundai.com, @sebastienloeb
Dani Sordo,35,Spain,Carlos Del Barrio,Hyundai Shell Mobis World Rally Team,Hyundai I20 Coupe WRC,Andrea Adamo,Michelin,motosport.hyundai.com, @danisordo
Ott Tänak,31,Estonia,Martin Järveoja,Toyota Gazoo Racing World Rally Team,Toyota Yaris WRC,Tommi Mäkinen,Michelin,toyotagazooracing.com, @otttanak
Jari-Matti Ltvala,33,Finland,Mikka Anttila,Toyota Gazoo Racing World Rally Team,Toyota Yaris WRC,Tommi Mäkinen,Michelin,toyotagazooracing.com, @jarrimattiwrc
Kris Meekee,39,Great Britain,Sebastian Marshall,Toyota Gazoo Racing World Rally Team,,Tommi Mäkinen,Michelin,toyotagazooracing.com, @krismeeke
